,name,enc0,enc1,enc2,enc3,enc4,enc5,enc6,enc7,enc8,enc9,enc10,enc11,enc12,enc13,enc14,enc15,pred0,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,pred51,pred52,pred53,pred54,pred55,pred56,pred57,pred58,pred59,pred60,pred61,pred62,pred63,pred64,pred65,pred66,pred67,pred68,pred69,pred70,pred71,pred72,pred73,pred74,pred75,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,act32,act33,act34,act35,act36,act37,act38,act39,act40,act41,act42,act43,act44,act45,act46,act47,act48,act49,act50,act51,act52,act53,act54,act55,act56,act57,act58,act59,act60,act61,act62,act63,act64,act65,act66,act67,act68,act69,act70,act71,act72,act73,act74,act75
0,ADAM.GAUDETTE,67.47676086425781,240.74266052246094,23.83427619934082,86.40925598144531,118.77057647705078,50.148040771484375,0.0,578.9373779296875,141.1182861328125,71.0447998046875,0.0,0.0,70.85545349121094,0.0,47.52402114868164,0.0,44.71002960205078,43.90174865722656,47.75674819946289,45.7739372253418,48.9467887878418,-2.1359946727752686,1.4867361783981323,24.627368927001953,27.52705192565918,39.56593322753906,41.38308334350586,50.054649353027344,50.69242477416992,5.462829113006592,5.5048675537109375,-3.2909703254699707,-4.313876628875732,-1.146653175354004,-7.395504474639893,3.5911054611206055,89.20407104492188,23.839092254638672,46.46687698364258,537.763916015625,-2.6231467723846436,-1.9941188097000122,-2.8065526485443115,-2.9447202682495117,-0.21618030965328217,-3.6062896251678467,4.6605658531188965,-1.7747340202331543,-3.3124938011169434,1.2107086181640625,3.528555154800415,-1.0985606908798218,-1.819434404373169,-2.768065929412842,-1.4812742471694946,8.497270584106445,4.99080753326416,8.52188491821289,16.162691116333008,62.20833206176758,82.04488372802734,109.10314178466797,7.251075267791748,6.563520908355713,10.542314529418945,4.296734809875488,19.30076789855957,15.216357231140137,19.347457885742188,48.026859283447266,54.2265510559082,8.242242813110352,5.222816467285156,3.148879051208496,-1.1522144079208374,3.6233537197113037,150.3614959716797,227.91299438476562,-70.3214340209961,11.755880355834961,23.78326416015625,15.199318885803223,15.48664665222168,10.173097610473633,58.540428161621094,30.98519515991211,35.09296417236328,28.153377532958984,46.86078643798828,41.91051483154297,50.525108337402344,-4.919857978820801,40.85,44.94,46.02,46.21,38.3,1.91,2.76,27.5,33.69,38.01,44.59,51.37,59.79,1.68,2.7,-0.85,-6.19,-6.58,-8.42,-1.03,91.8,21.0,56.0,530.88,-0.35,-2.79,-2.82,-3.02,-0.63,-0.22,0.13,-0.82,1.97,-2.03,0.79,-2.09,0.92,-0.41,0.22,5.0,4.0,3.0,12.0,55.0,83.0,110.0,5.6,9.09,6.02,6.75,15.0,7.0,10.0,48.0,55.0,9.0,14.0,0.0,0.0,5.0,150.0,221.0,-71.0,9.48,19.36,13.92,15.33,5.24,65.52,36.1,39.02,24.88,50.0,38.0,43.18,0.0
1,ADAM.HENRIQUE,287.5235595703125,251.22882080078125,182.55409240722656,140.55018615722656,101.01289367675781,190.38047790527344,0.0,1074.075439453125,53.854461669921875,154.17945861816406,0.0,0.0,224.15028381347656,0.0,139.47450256347656,0.0,49.94819259643555,47.514163970947266,49.99003982543945,48.21487045288086,52.08587646484375,-0.5953385233879089,2.711829662322998,25.768924713134766,30.237171173095703,43.01389694213867,40.08870315551758,51.7944450378418,50.691322326660156,3.7114365100860596,5.474303722381592,-1.9570683240890503,0.8605113625526428,-0.7709780931472778,-3.8696086406707764,1.6862456798553467,91.371826171875,25.74173355102539,79.74005126953125,1026.179931640625,-2.1237566471099854,-1.6533255577087402,1.0468398332595825,-3.5189688205718994,0.017442548647522926,-1.1317152976989746,1.1396129131317139,-2.905410051345825,-5.247384548187256,1.4300355911254883,2.8316798210144043,2.0244333744049072,-2.7996857166290283,-1.3487242460250854,-3.64874267578125,17.485252380371094,15.232858657836914,14.081655502319336,40.52928161621094,130.88150024414062,182.25035095214844,232.16326904296875,15.832954406738281,6.502893447875977,14.085281372070312,4.18031120300293,44.25542449951172,33.61795425415039,36.94596862792969,75.29753112792969,85.02326202392578,16.14983367919922,13.532451629638672,4.035455703735352,-3.872093439102173,2.796632766723633,577.097412109375,529.9589233398438,56.317604064941406,13.638421058654785,28.201749801635742,14.863351821899414,16.412811279296875,14.47354507446289,51.42627716064453,29.357210159301758,31.10538101196289,33.880550384521484,83.815185546875,84.31765747070312,51.00278091430664,-2.6309518814086914,52.19,46.16,45.88,45.65,47.65,2.13,1.95,25.17,29.36,37.57,44.31,50.54,60.17,2.21,2.42,0.18,-4.19,-6.74,-9.64,-0.22,93.35,28.0,82.0,1007.67,0.26,-0.58,-1.61,-3.2,0.23,-0.08,-0.33,-2.52,-1.94,-2.67,-1.06,-3.22,-0.03,-0.05,-0.28,18.0,15.0,9.0,42.0,122.0,190.0,224.0,17.02,14.75,9.47,8.96,71.0,26.0,39.0,78.0,69.0,12.0,15.0,0.0,0.0,3.0,571.0,512.0,59.0,12.29,25.35,16.44,15.09,11.11,57.36,35.01,31.29,33.7,85.0,90.0,51.43,1.0
2,ALAN.QUINE,11.110511779785156,122.3565444946289,43.71705627441406,3.102259874343872,50.26531982421875,29.74671745300293,0.0,239.30099487304688,239.0475616455078,11.892016410827637,0.0,0.0,18.093929290771484,0.0,54.02922821044922,0.0,44.17059326171875,44.323570251464844,47.551029205322266,49.182708740234375,48.62228012084961,1.742721438407898,0.11424926668405533,23.978729248046875,30.239917755126953,37.003746032714844,41.22616195678711,48.812538146972656,49.33838653564453,1.1877226829528809,2.8326828479766846,-1.3188705444335938,-1.3178346157073975,-2.6536712646484375,-5.8217549324035645,2.177870512008667,89.29322814941406,24.39238166809082,14.624456405639648,123.42314147949219,-0.1625373810529709,-2.3288214206695557,-0.7673720121383667,-5.937178134918213,-1.0526996850967407,-1.1626012325286865,1.4168857336044312,-3.1681034564971924,-1.4676096439361572,-1.554864764213562,1.2584798336029053,-2.842909812927246,-2.699315309524536,-2.7526891231536865,-2.9531362056732178,1.5228915214538574,2.2492904663085938,3.0643815994262695,2.6153206825256348,7.882835388183594,12.530067443847656,14.32205867767334,1.5844852924346924,5.3781280517578125,9.029824256896973,4.832387447357178,1.9539778232574463,-0.8834771513938904,0.9946158528327942,18.09076690673828,13.408809661865234,2.3969578742980957,2.2624640464782715,3.1155190467834473,-0.7696012854576111,0.7561630010604858,19.355295181274414,25.95064353942871,0.011022433638572693,10.04160213470459,19.325971603393555,11.65967082977295,15.397454261779785,10.856691360473633,59.13145446777344,29.177906036376953,33.96382522583008,33.41197204589844,13.423577308654785,11.522073745727539,50.638118743896484,0.6022070646286011,51.58,43.46,47.38,48.95,46.95,2.05,1.92,20.84,27.12,31.81,35.33,45.59,47.54,1.89,2.14,0.13,-6.27,-3.52,-1.95,-0.25,92.91,25.0,13.0,119.6,-0.17,-8.94,-7.31,-8.36,-0.47,-0.49,-0.32,-9.2,-0.26,-10.78,-3.47,-13.02,-4.66,-0.55,-0.08,3.0,0.0,2.0,5.0,11.0,14.0,20.0,1.22,27.27,21.43,8.71,2.0,5.0,3.0,14.0,7.0,3.0,0.0,0.0,0.0,-3.0,13.0,20.0,-7.0,9.2,19.43,11.52,18.79,10.91,58.79,26.26,39.39,34.34,14.0,8.0,36.36,1.0
3,ALEKSANDER.BARKOV,447.7521667480469,85.10201263427734,356.2278747558594,169.73736572265625,101.4488525390625,372.0797119140625,0.0,1514.0208740234375,40.48464584350586,205.5630645751953,0.0,0.0,293.8555603027344,0.0,235.82327270507812,0.0,58.88448715209961,50.69761657714844,60.89917755126953,58.62572479248047,67.28483581542969,-2.747875928878784,-2.048570394515991,26.488901138305664,35.3737907409668,54.47755432128906,50.90977096557617,63.91752243041992,47.18062210083008,6.0931782722473145,12.08279800415039,-4.2912917137146,3.235191822052002,7.442225456237793,-3.6182310581207275,10.58461856842041,99.98983764648438,32.57952880859375,87.20220947265625,1304.369873046875,-2.2871954441070557,-3.3031632900238037,2.6426141262054443,-4.7836012840271,-1.418726921081543,-7.206726551055908,7.30299186706543,-5.701943397521973,-8.920570373535156,5.998351573944092,10.729745864868164,6.069302558898926,-8.439852714538574,-10.293924331665039,-6.9591217041015625,29.937339782714844,27.004594802856445,31.100162506103516,68.82689666748047,198.1473846435547,276.03759765625,356.2484130859375,29.25507354736328,8.046165466308594,25.679519653320312,-0.05511699244379997,49.46080017089844,48.67845153808594,53.7474250793457,50.87986755371094,85.12520599365234,22.045469284057617,15.173341751098633,10.199252128601074,-8.713805198669434,6.734228134155273,1053.135498046875,930.1914672851562,151.743408203125,19.422704696655273,35.385765075683594,20.485246658325195,18.69658851623535,22.0610408782959,51.07181930541992,30.846893310546875,32.26866149902344,38.34432601928711,110.985595703125,109.10749816894531,64.06571197509766,-7.066336631774902,52.54,51.23,49.03,48.61,48.16,3.33,3.01,31.99,30.45,41.94,43.6,53.8,56.87,2.54,2.73,0.32,1.54,-1.65,-3.07,-0.19,90.13,23.0,82.0,1253.32,0.54,0.1,-1.85,-2.19,0.05,0.63,0.09,-0.24,-0.34,-1.22,0.63,-2.0,0.19,0.14,0.09,35.0,37.0,24.0,96.0,206.0,277.0,318.0,24.72,16.99,12.64,8.92,61.0,69.0,100.0,28.0,139.0,4.0,35.0,0.0,0.0,31.0,1041.0,898.0,143.0,15.28,31.54,13.57,20.38,16.21,49.85,27.67,34.71,37.62,131.0,86.0,39.63,1.0
4,ALEX.FORTIN,17.5358829498291,200.52529907226562,63.80109786987305,17.164936065673828,66.72492980957031,34.17051315307617,0.0,311.18450927734375,222.59283447265625,9.73093032836914,0.0,0.0,26.027700424194336,0.0,52.05799102783203,0.0,43.07167053222656,51.13056564331055,48.15671920776367,48.054298400878906,50.74754333496094,1.473320722579956,-1.2563432455062866,26.30240821838379,30.671592712402344,38.79656219482422,39.59941101074219,51.408592224121094,55.77224349975586,1.5947980880737305,5.320917129516602,-0.0857478603720665,-0.9041792154312134,-1.2232118844985962,-4.358339786529541,0.6648240089416504,95.82835388183594,21.336088180541992,20.746963500976562,235.90777587890625,-0.03863076493144035,-1.8261654376983643,-0.3064514398574829,1.209114909172058,-0.5155531764030457,-2.775221109390259,-0.7741819620132446,-1.060227394104004,-1.478987216949463,-1.126450538635254,0.962894082069397,-0.48041006922721863,0.512752890586853,-3.437908172607422,2.0236544609069824,2.2563838958740234,3.4641528129577637,3.9081568717956543,7.4149088859558105,28.25019073486328,43.646995544433594,57.19681167602539,6.052243232727051,12.495951652526855,5.147199630737305,7.487857818603516,7.236938953399658,4.492112636566162,8.97342300415039,20.725440979003906,21.597158432006836,1.3859056234359741,1.9657387733459473,1.596805453300476,-2.0415284633636475,1.895857572555542,10.342301368713379,10.396807670593262,-0.9179564118385315,10.647927284240723,22.176393508911133,12.164636611938477,15.058395385742188,13.92492389678955,61.06145095825195,31.620344161987305,37.166542053222656,31.162677764892578,17.405710220336914,18.85093116760254,49.0899658203125,1.0460935831069946,34.59,47.04,50.28,50.34,46.09,1.72,3.25,31.64,35.62,46.51,45.99,62.63,61.79,2.73,3.19,-1.53,-3.98,0.51,0.84,-0.46,90.87,21.0,24.0,239.67,-1.06,-1.2,4.61,3.9,0.03,-0.62,0.44,1.3,2.5,6.19,1.58,6.74,2.84,0.47,0.43,3.0,2.0,1.0,6.0,29.0,39.0,56.0,3.12,10.34,7.69,8.0,7.0,3.0,9.0,21.0,16.0,1.0,5.0,0.0,0.0,4.0,11.0,6.0,5.0,9.99,21.05,11.29,15.67,13.48,59.56,29.29,33.33,37.37,18.0,20.0,52.63,1.0
5,ALEX.GALCHENYUK,141.2681121826172,446.13763427734375,140.25064086914062,151.49893188476562,171.43768310546875,140.63990783691406,0.0,827.6873168945312,81.11524200439453,114.13224029541016,0.0,0.0,82.68255615234375,0.0,73.76593017578125,0.0,51.97053909301758,46.88841247558594,51.31924057006836,51.364620208740234,54.40391540527344,-1.9628134965896606,2.898380756378174,28.82408905029297,29.8044376373291,48.05561065673828,41.796749114990234,57.5814323425293,49.492225646972656,5.992104530334473,4.91285514831543,-4.005711555480957,1.217444896697998,3.5112457275390625,-0.45999035239219666,2.6736979484558105,90.51807403564453,23.951976776123047,67.05690002441406,879.1002197265625,-3.7296392917633057,0.20168884098529816,2.2588300704956055,-1.1455938816070557,0.21914008259773254,-1.270613670349121,4.323125839233398,0.27561840415000916,-5.354403972625732,5.240101337432861,3.611339569091797,4.290327072143555,-2.638136863708496,-1.998326063156128,-4.567256450653076,21.832645416259766,14.26386547088623,13.823221206665039,41.04451370239258,164.9420928955078,223.68756103515625,291.3258972167969,17.236757278442383,4.562309265136719,14.206245422363281,4.245069980621338,27.23954963684082,35.660919189453125,34.61555480957031,60.977943420410156,79.70938110351562,15.024641036987305,13.813545227050781,2.9060850143432617,-3.5508716106414795,6.01528787612915,192.32943725585938,234.0801239013672,-30.29117202758789,12.968461990356445,28.715383529663086,16.558603286743164,16.01773452758789,9.352923393249512,55.744163513183594,34.66687774658203,33.23869323730469,26.755746841430664,72.81868743896484,72.42527770996094,52.77842712402344,-6.39793062210083,39.91,47.15,47.35,47.6,45.78,1.75,2.64,28.18,31.59,40.04,44.52,54.19,59.66,2.29,2.71,-0.89,-3.41,-4.48,-5.47,-0.42,91.65,24.0,72.0,859.13,-0.46,-2.92,-3.33,-3.02,-0.38,-0.23,0.22,-1.81,1.12,-1.89,1.45,-2.29,0.72,-0.04,0.34,19.0,12.0,10.0,41.0,159.0,229.0,288.0,18.83,11.95,8.3,8.22,34.0,40.0,28.0,62.0,84.0,17.0,15.0,0.0,0.0,-2.0,188.0,223.0,-35.0,11.93,24.72,17.35,13.27,6.43,62.95,43.8,29.55,26.65,84.0,75.0,47.17,1.0
6,ALEX.IAFALLO,148.37567138671875,728.3768920898438,41.01869583129883,153.08070373535156,165.15306091308594,35.13633728027344,0.0,846.2920532226562,0.0,126.32512664794922,0.0,0.0,178.42100524902344,0.0,101.47711181640625,0.0,49.29631042480469,42.73261260986328,47.131248474121094,46.04045486450195,48.15085983276367,1.6051664352416992,-0.38050276041030884,22.372737884521484,29.654150009155273,37.343528747558594,38.522579193115234,48.26329040527344,48.61600112915039,1.1523573398590088,5.928524017333984,-1.6301683187484741,0.4594613313674927,-3.464519739151001,-6.227097034454346,2.5833871364593506,86.94810485839844,22.7854061126709,92.3565902709961,1162.3670654296875,-0.08859825134277344,-2.6924023628234863,-0.7591117024421692,-5.9830121994018555,0.5208954811096191,-2.859480381011963,0.7306401133537292,-3.362456798553467,-1.6374878883361816,0.6607392430305481,3.711387872695923,0.2740035951137543,-1.3475008010864258,-1.5099997520446777,-3.534214973449707,15.940503120422363,16.119522094726562,11.833511352539062,39.823570251464844,133.77145385742188,186.31484985351562,234.87237548828125,16.37529945373535,5.530709743499756,11.589888572692871,4.675920009613037,37.17936325073242,33.59075927734375,35.6358757019043,103.52325439453125,109.46763610839844,15.944133758544922,16.62943458557129,4.896061420440674,-0.27839794754981995,3.998208999633789,6.8467512130737305,35.502628326416016,-20.22228240966797,13.05616283416748,26.036874771118164,13.041051864624023,13.67432689666748,11.85742473602295,52.7010383605957,26.007221221923828,30.59823989868164,32.00035858154297,97.44371032714844,97.60112762451172,48.599422454833984,0.8960743546485901,45.43,46.54,46.08,46.3,44.28,2.18,2.62,26.87,30.87,37.39,43.74,50.51,58.59,2.06,2.59,-0.44,-4.0,-6.35,-8.08,-0.53,91.51,24.0,82.0,1177.18,0.03,0.39,0.5,0.24,-0.14,0.05,0.01,-0.36,-0.75,-1.14,-1.64,-1.25,-1.49,-0.12,0.02,15.0,10.0,8.0,33.0,148.0,198.0,237.0,15.32,10.14,7.58,7.74,54.0,19.0,26.0,87.0,88.0,11.0,6.0,0.0,0.0,-5.0,7.0,17.0,-10.0,14.36,29.03,12.2,22.17,13.35,52.27,27.64,36.91,35.45,98.0,84.0,46.15,1.0
7,ALEX.KERFOOT,200.09866333007812,429.4946594238281,127.90142822265625,98.7701644897461,97.63906860351562,121.11125183105469,0.0,864.1566162109375,65.52701568603516,114.94287109375,0.0,0.0,189.02139282226562,0.0,132.60824584960938,0.0,48.214637756347656,47.412384033203125,51.39129638671875,47.44677734375,54.062232971191406,-0.995457649230957,0.019173569977283478,22.530155181884766,29.786745071411133,42.2650032043457,38.403953552246094,50.41865921020508,48.59142303466797,3.42162823677063,9.762131690979004,-2.7362115383148193,1.8731071949005127,-1.020789623260498,-6.704150676727295,3.247281789779663,94.34469604492188,23.932409286499023,73.1571273803711,962.35546875,-1.4482474327087402,-1.8739373683929443,0.768504798412323,-2.4677200317382812,1.8358529806137085,-4.788930892944336,1.7256437540054321,-4.519136905670166,-6.570401668548584,1.4241329431533813,4.561779022216797,2.6070377826690674,-2.872069835662842,-3.7295491695404053,-2.8329432010650635,15.46921443939209,13.944513320922852,13.71218204498291,34.01755142211914,111.2289047241211,156.724609375,202.76461791992188,16.01156234741211,7.999026298522949,15.457465171813965,4.743366718292236,34.373470306396484,30.85689353942871,31.960508346557617,66.68647766113281,81.3274154663086,14.853939056396484,10.55006217956543,5.069292068481445,-5.001883506774902,4.672102928161621,276.2613220214844,232.01828002929688,59.917179107666016,13.226449966430664,29.346025466918945,14.79716968536377,13.227018356323242,16.867719650268555,53.374271392822266,25.92966079711914,32.41997528076172,33.76552200317383,81.25656127929688,78.25138092041016,50.26185989379883,-3.298438787460327,46.48,52.26,51.88,51.41,53.87,2.01,2.31,31.17,28.47,42.23,39.17,57.59,54.43,2.34,2.0,-0.3,2.69,3.06,3.16,0.34,91.88,24.0,78.0,954.3,-0.32,2.19,3.24,4.62,0.4,-0.37,-0.05,-0.21,-2.4,0.38,-2.86,0.91,-3.71,0.05,-0.34,15.0,12.0,15.0,42.0,116.0,151.0,195.0,13.08,12.93,9.93,8.66,29.0,30.0,22.0,22.0,120.0,19.0,16.0,0.0,0.0,-3.0,274.0,215.0,59.0,12.23,25.96,15.19,15.76,10.24,58.81,36.67,32.6,30.73,66.0,84.0,56.0,1.0
8,ALEX.KILLORN,115.38258361816406,630.836181640625,123.4001235961914,151.77012634277344,171.84445190429688,83.58792877197266,0.0,740.130615234375,72.13800048828125,103.22867584228516,0.0,0.0,109.09854888916016,0.0,81.06666564941406,0.0,51.338233947753906,49.664459228515625,49.738616943359375,50.695743560791016,52.00669479370117,0.9088395833969116,0.609748125076294,30.551761627197266,31.074325561523438,43.46710968017578,44.52926254272461,57.774635314941406,54.78669357299805,3.4100868701934814,3.208939552307129,-0.0659189522266388,-1.3316539525985718,3.5316543579101562,1.7837823629379272,2.819002389907837,89.88391876220703,24.211397171020508,73.88575744628906,928.9993896484375,-0.7792929410934448,-1.6205581426620483,0.18533149361610413,-0.2022503763437271,-2.8668506145477295,-1.6390153169631958,1.6253070831298828,0.9475811719894409,-0.029008347541093826,2.3921937942504883,2.495408296585083,1.728151559829712,-1.1210607290267944,-2.5836100578308105,-0.3618360459804535,16.73175048828125,12.877156257629395,11.985461235046387,39.632423400878906,156.5806427001953,215.47947692871094,274.2660827636719,18.675573348999023,8.828669548034668,7.54849910736084,4.411652088165283,30.436439514160156,30.990230560302734,35.44391632080078,88.260498046875,91.62382507324219,12.247200965881348,15.328473091125488,3.6436874866485596,0.17222286760807037,3.3146090507507324,4.9193830490112305,11.618682861328125,-9.476706504821777,14.13631534576416,24.12266731262207,15.069474220275879,18.930259704589844,10.337960243225098,56.410011291503906,36.27523422241211,34.588016510009766,28.53080177307129,76.29104614257812,77.75587463378906,52.318763732910156,0.2224404215812683,61.34,54.28,54.45,55.74,56.07,2.85,1.79,32.34,27.24,44.92,37.58,62.23,49.41,2.55,2.0,1.05,5.1,7.34,12.82,0.55,93.41,29.0,82.0,917.37,0.33,1.9,2.79,5.45,0.21,-0.23,-0.56,-0.24,-2.15,0.16,-2.62,2.24,-3.21,0.01,-0.19,18.0,15.0,7.0,40.0,153.0,213.0,287.0,16.3,11.76,8.45,7.65,23.0,22.0,30.0,88.0,90.0,20.0,9.0,1.0,1.0,-11.0,2.0,8.0,-6.0,11.19,23.44,11.46,22.67,12.22,53.65,26.38,42.81,30.82,59.0,101.0,63.12,1.0
9,ALEX.WENNBERG,175.0222930908203,289.3938903808594,29.440258026123047,96.8640365600586,96.51780700683594,61.36813735961914,0.0,853.1546630859375,73.61930847167969,105.4902114868164,0.0,0.0,173.2944793701172,0.0,106.80709838867188,0.0,46.288124084472656,46.211116790771484,48.365787506103516,44.89284133911133,49.74943161010742,1.500027060508728,0.03814694285392761,20.0647029876709,31.434228897094727,36.500553131103516,37.46868133544922,44.56529998779297,50.600669860839844,0.21423758566379547,8.591909408569336,-0.7278953194618225,1.307301640510559,-7.300690174102783,-11.195639610290527,0.9424192905426025,94.265625,21.521316528320312,67.95803833007812,879.299072265625,0.5095824599266052,-3.2190194129943848,0.0008908268064260483,-5.636274814605713,2.0323736667633057,-3.035991907119751,-1.9027751684188843,-6.6595048904418945,-4.969077110290527,-2.3922126293182373,3.008053779602051,0.3078460097312927,-1.83748197555542,-2.3045287132263184,-2.6925437450408936,9.236166954040527,13.350733757019043,10.727730751037598,27.40189552307129,61.4909553527832,90.18376159667969,115.57767486572266,10.530585289001465,8.780879974365234,14.314321517944336,5.684542655944824,33.1796875,23.378833770751953,25.778549194335938,55.95869064331055,67.7164535522461,12.188404083251953,10.17318344116211,4.5931396484375,-4.707059383392334,3.2496824264526367,336.2575988769531,374.77252197265625,-25.54194450378418,12.439684867858887,27.704362869262695,12.4431791305542,12.774948120117188,16.767675399780273,53.405696868896484,24.095460891723633,32.1074333190918,35.98226547241211,70.58616638183594,72.44937896728516,49.078189849853516,1.0739823579788208,46.76,51.42,50.96,50.71,47.14,2.28,2.6,30.47,28.79,42.28,40.69,55.98,54.41,2.3,2.58,-0.32,1.68,1.59,1.56,-0.28,90.98,23.0,75.0,861.65,-0.48,0.04,-0.23,1.29,-0.35,-0.34,0.14,-0.46,-0.49,-0.06,0.17,1.24,-0.05,-0.16,0.19,2.0,13.0,10.0,25.0,64.0,90.0,111.0,7.08,3.12,2.22,7.87,32.0,29.0,34.0,34.0,56.0,6.0,3.0,0.0,0.0,-3.0,342.0,364.0,-22.0,11.49,23.22,15.93,16.73,12.54,54.8,33.98,32.04,33.98,78.0,92.0,54.12,1.0
