,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
0,1,0.515594,0.0,0.0,0.23840319999999998,2.0,31.0,1,1,1,"(8477503.0, 8474038.0, 8477476.0, 8476422.0, 8478454.0)","(8466139.0, 8479318.0, 8474589.0, 8468493.0, 8476853.0)",0.0
1,0,0.0,0.23840319999999998,0.515594,0.0,5.0,31.0,0,0,0,"(8466139.0, 8479318.0, 8474589.0, 8468493.0, 8476853.0)","(8477503.0, 8474038.0, 8477476.0, 8476422.0, 8478454.0)",0.0
2,0,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,"(8476285.0, 8476381.0, 8476948.0, 8479376.0, 8476443.0)","(8478483.0, 8475166.0, 8476410.0, 8468493.0, 8478408.0)",
3,1,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,"(8478483.0, 8475166.0, 8476410.0, 8468493.0, 8478408.0)","(8476285.0, 8476381.0, 8476948.0, 8479376.0, 8476443.0)",
4,0,0.0,0.0,0.0329695,0.0,24.0,0.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)","(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)",0.0
5,1,0.0329695,0.0,0.0,0.0,24.0,40.0,0,0,0,"(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)","(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)",0.0
6,0,0.0,0.0,0.0,0.0,24.0,32.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)","(8475343.0, 8475758.0, 8477573.0, 8477043.0, 8474590.0)",
7,1,0.0,0.0,0.0,0.0,24.0,32.0,0,0,0,"(8475343.0, 8475758.0, 8477573.0, 8477043.0, 8474590.0)","(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)",
8,0,0.0,0.0,0.0,0.0,24.0,39.0,0,0,0,"(8475807.0, 8478569.0, 8475780.0, 8478443.0, 8465009.0)","(8476905.0, 8474189.0, 8477444.0, 8477474.0, 8468498.0)",
9,1,0.0,0.0,0.0,0.0,24.0,39.0,0,0,0,"(8476905.0, 8474189.0, 8477444.0, 8477474.0, 8468498.0)","(8475807.0, 8478569.0, 8475780.0, 8478443.0, 8465009.0)",
10,0,0.0,0.0105921,0.05424299999999999,0.0,7.0,27.0,0,0,0,"(8476873.0, 8477935.0, 8473564.0, 8479976.0, 8474628.0)","(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475690.0)",
11,1,0.05424299999999999,0.0657817,0.0,0.0105921,7.0,57.0,0,0,0,"(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475690.0)","(8476873.0, 8477935.0, 8473564.0, 8479976.0, 8474628.0)",
12,0,0.0,0.0,0.0,0.0,6.0,28.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)","(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475790.0)",
13,1,0.0,0.0,0.0,0.0,6.0,28.0,0,0,1,"(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475790.0)","(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)",
14,0,0.0,0.0,0.0,0.0,28.0,27.0,0,0,0,"(8478585.0, 8477496.0, 8479346.0, 8479976.0, 8474628.0)","(8476440.0, 8474291.0, 8476894.0, 8476884.0, 8475790.0)",
15,1,0.0,0.0,0.0,0.0,28.0,5.0,0,0,0,"(8476440.0, 8474291.0, 8476894.0, 8476884.0, 8475790.0)","(8478585.0, 8477496.0, 8479346.0, 8479976.0, 8474628.0)",
16,1,0.0,0.0,0.0,0.0,21.0,25.0,0,0,0,"(8474150.0, 8478512.0, 8479314.0, 8474612.0, 8478396.0)","(8477500.0, 8478444.0, 8476466.0, 8474584.0, 8479442.0)",
17,0,0.0,0.0,0.0,0.0,21.0,147.0,0,0,0,"(8477500.0, 8478444.0, 8476466.0, 8474584.0, 8479442.0)","(8474150.0, 8478512.0, 8479314.0, 8474612.0, 8478396.0)",
18,0,0.0,0.0,0.0,0.0,11.0,14.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8479314.0, 8470966.0)","(8474091.0, 8477353.0, 8477937.0, 8476884.0, 8475790.0)",
19,1,0.0,0.0,0.0,0.0,0.0,29.0,0,0,1,"(8474091.0, 8477353.0, 8477937.0, 8476884.0, 8475790.0)","(8477497.0, 8477496.0, 8476346.0, 8479314.0, 8470966.0)",
20,1,0.0,0.0,0.0,0.0,34.0,40.0,0,0,0,"(8477497.0, 8476346.0, 8471707.0, 8470966.0, 8474673.0)","(8477500.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)",
21,0,0.0,0.0,0.0,0.0,25.0,40.0,0,0,0,"(8477500.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)","(8477497.0, 8476346.0, 8471707.0, 8470966.0, 8474673.0)",
22,1,0.0668314,0.0,0.0,0.023174200000000002,0.0,14.0,0,0,1,"(8474641.0, 8475164.0, 8480031.0, 8475764.0, 8476312.0)","(8474053.0, 8476881.0, 8478099.0, 8477046.0, 8470613.0)",
23,0,0.0,0.023174200000000002,0.0668314,0.0,0.0,14.0,1,1,1,"(8474053.0, 8476881.0, 8478099.0, 8477046.0, 8470613.0)","(8474641.0, 8475164.0, 8480031.0, 8475764.0, 8476312.0)",
24,0,0.0,0.07589739999999999,0.0310813,0.0,0.0,21.0,0,0,1,"(8474641.0, 8476857.0, 8480031.0, 8475764.0, 8476312.0)","(8474053.0, 8478099.0, 8475169.0, 8477046.0, 8470613.0)",1.0
25,1,0.0310813,0.0,0.0,0.07589739999999999,0.0,22.0,0,0,1,"(8474053.0, 8478099.0, 8475169.0, 8477046.0, 8470613.0)","(8474641.0, 8476857.0, 8480031.0, 8475764.0, 8476312.0)",-1.0
26,1,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,"(8474641.0, 8478873.0, 8480031.0, 8475764.0, 8477986.0)","(8474053.0, 8478099.0, 8475169.0, 8471709.0, 8474578.0)",
27,0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,"(8474053.0, 8478099.0, 8475169.0, 8471709.0, 8474578.0)","(8474641.0, 8478873.0, 8480031.0, 8475764.0, 8477986.0)",
28,1,0.0503389,0.057139699999999995,0.0,0.0,0.0,19.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)","(8478403.0, 8477933.0, 8475784.0, 8474618.0, 8477499.0)",
29,0,0.0,0.0,0.0503389,0.057139699999999995,0.0,19.0,0,0,0,"(8478403.0, 8477933.0, 8475784.0, 8474618.0, 8477499.0)","(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)",
30,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"(8471276.0, 8473419.0, 8477956.0, 8475186.0, 8479325.0)","(8473534.0, 8479420.0, 8477839.0, 8476931.0, 8480839.0)",
31,0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,1,"(8473534.0, 8479420.0, 8477839.0, 8476931.0, 8480839.0)","(8471276.0, 8473419.0, 8477956.0, 8475186.0, 8479325.0)",
32,1,0.0,0.0,0.0,0.0,13.0,16.0,0,0,1,"(8474068.0, 8475225.0, 8476887.0, 8475218.0, 8474056.0)","(8479353.0, 8476480.0, 8479968.0, 8480145.0, 8476869.0)",
33,0,0.0,0.0,0.0,0.0,13.0,39.0,0,0,0,"(8479353.0, 8476480.0, 8479968.0, 8480145.0, 8476869.0)","(8474068.0, 8475225.0, 8476887.0, 8475218.0, 8474056.0)",
34,0,0.0,0.0,0.0,0.0,72.0,8.0,0,0,0,"(8474009.0, 8475714.0, 8477451.0, 8475218.0, 8474056.0)","(8475727.0, 8480078.0, 8475855.0, 8471717.0, 8476869.0)",
35,1,0.0,0.0,0.0,0.0,29.0,36.0,0,0,0,"(8475727.0, 8480078.0, 8475855.0, 8471717.0, 8476869.0)","(8474009.0, 8475714.0, 8477451.0, 8475218.0, 8474056.0)",
36,1,0.0,0.0,0.0,0.0,4.0,0.0,0,0,1,"(8476925.0, 8474736.0, 8476447.0, 8475218.0, 8474056.0)","(8479353.0, 8475727.0, 8479968.0, 8474031.0, 8474090.0)",
37,0,0.0,0.0,0.0,0.0,4.0,46.0,0,0,1,"(8479353.0, 8475727.0, 8479968.0, 8474031.0, 8474090.0)","(8476925.0, 8474736.0, 8476447.0, 8475218.0, 8474056.0)",
38,0,0.0,0.0,0.026429700000000004,0.017613900000000002,31.0,44.0,0,0,0,"(8476905.0, 8475744.0, 8475792.0, 8477043.0, 8474590.0)","(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)",
39,1,0.026429700000000004,0.0,0.0,0.0,12.0,16.0,0,0,1,"(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)","(8476905.0, 8475744.0, 8475792.0, 8477043.0, 8474590.0)",
40,1,0.11903,0.0,0.0,0.0,21.0,32.0,0,0,1,"(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)","(8464989.0, 8475772.0, 8478466.0, 8476874.0, 8471677.0)",
41,0,0.0,0.0,0.11903,0.038806099999999996,21.0,48.0,0,0,0,"(8464989.0, 8475772.0, 8478466.0, 8476874.0, 8471677.0)","(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)",
42,1,0.038806099999999996,0.0,0.0,0.0,0.0,34.0,0,0,1,"(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)","(8471215.0, 8473548.0, 8474176.0, 8475208.0, 8471724.0)",
43,0,0.0,0.0,0.038806099999999996,0.0,48.0,34.0,0,0,0,"(8471215.0, 8473548.0, 8474176.0, 8475208.0, 8471724.0)","(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)",
44,1,0.10364000000000001,0.0,0.0,0.00633286,18.0,18.0,0,0,0,"(8475744.0, 8475792.0, 8471214.0, 8477043.0, 8474590.0)","(8464989.0, 8475772.0, 8475810.0, 8475208.0, 8471724.0)",
45,0,0.0,0.00633286,0.10364000000000001,0.0,18.0,18.0,0,0,0,"(8464989.0, 8475772.0, 8475810.0, 8475208.0, 8471724.0)","(8475744.0, 8475792.0, 8471214.0, 8477043.0, 8474590.0)",
46,0,0.0,0.0,0.0,0.0,14.0,49.0,0,0,0,"(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)","(8477404.0, 8471675.0, 8471887.0, 8475208.0, 8471724.0)",
47,1,0.0,0.0,0.0,0.0,3.0,49.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8475208.0, 8471724.0)","(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)",
48,1,0.0,0.0,0.0,0.0,13.0,19.0,0,0,0,"(8475744.0, 8475792.0, 8477944.0, 8475200.0, 8474590.0)","(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)",
49,0,0.0,0.0,0.0,0.0,13.0,19.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)","(8475744.0, 8475792.0, 8477944.0, 8475200.0, 8474590.0)",
50,0,0.0,0.0,0.0,0.0,36.0,12.0,0,0,0,"(8476905.0, 8474189.0, 8477444.0, 8471702.0, 8475200.0)","(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)",
51,1,0.0,0.0,0.0,0.0,36.0,12.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)","(8476905.0, 8474189.0, 8477444.0, 8471702.0, 8475200.0)",
52,0,0.0,0.0,0.0,0.0,10.0,32.0,0,0,0,"(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)","(8478866.0, 8473544.0, 8475810.0, 8475208.0, 8471724.0)",
